City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Manthani,IN,70.09,clear sky,18.65,79.6667,Social Welfare Boys Hostel
7,Castro,BR,76.44,clear sky,-24.7911,-50.0119,CHACARA BAILLY
14,East London,ZA,75.2,few clouds,-33.0153,27.9116,Tu Casa
15,Alofi,NU,77.0,overcast clouds,-19.0595,-169.9187,Taloa Heights
18,Rikitea,PF,77.65,overcast clouds,-23.1203,-134.9692,Pension Maro'i
19,Georgetown,MY,82.4,few clouds,5.4112,100.3354,Cititel Penang
30,Dhidhdhoo,MV,81.57,broken clouds,6.8833,73.1,Dhidhoo beach
31,Vaitape,PF,81.45,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
36,Barra Dos Coqueiros,BR,86.0,clear sky,-10.9089,-37.0386,Quality Hotel Aracaju
37,Pimentel,PE,78.8,broken clouds,-6.8367,-79.9342,Casona Del Muelle
39,Port Keats,AU,82.6,light rain,-14.25,129.55,TDC Village (Hundred Man Camp)
40,Anloga,GH,86.0,few clouds,5.7947,0.8973,Pin Drop Hotel
41,Pozo Colorado,PY,89.42,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
42,Arraial Do Cabo,BR,77.0,moderate rain,-22.9661,-42.0278,Pousada Porto Praia
43,Port Elizabeth,ZA,71.6,broken clouds,-33.918,25.5701,39 On Nile Guest House
46,Bredasdorp,ZA,71.6,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
47,Mount Isa,AU,75.2,heavy intensity rain,-20.7333,139.5,ibis Styles Mt Isa Verona
48,Sharjah,AE,73.4,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
51,Kroya,ID,77.63,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
52,Atuona,PF,80.17,broken clouds,-9.8,-139.0333,Villa Enata
53,Cartagena,CO,87.8,scattered clouds,10.3997,-75.5144,Costa Del Sol
57,Trinidad,BO,89.6,broken clouds,-14.8333,-64.9,Hotel Piesta
61,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
63,Inirida,CO,87.53,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
67,Cidreira,BR,76.57,broken clouds,-30.1811,-50.2056,Hotel Castelo
68,Atambua,ID,73.47,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
70,Puerto Ayora,EC,80.6,moderate rain,-0.7393,-90.3518,Castillo Galapagos
71,Vaini,TO,73.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
73,Chuy,UY,82.99,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
74,Butaritari,KI,81.01,light rain,3.0707,172.7902,Isles Sunset Lodge
76,Boca Do Acre,BR,87.8,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
78,Acapulco,MX,84.2,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
81,Port Alfred,ZA,73.99,scattered clouds,-33.5906,26.891,The Halyards Hotel
84,Morondava,MG,83.46,light rain,-20.2833,44.2833,La Case Bambou
