City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Yellowknife,CA,2021-02-06 17:47:44,62.456,-114.3525,-43.01,66,1,3.44,mist
1,Longyearbyen,SJ,2021-02-06 17:51:47,78.2186,15.6401,23.0,74,75,3.44,broken clouds
2,Upernavik,GL,2021-02-06 17:51:47,72.7868,-56.1549,19.96,80,100,4.99,overcast clouds
3,Havelock,US,2021-02-06 17:51:17,34.8791,-76.9013,50.0,57,75,8.05,broken clouds
4,Manthani,IN,2021-02-06 17:51:47,18.65,79.6667,70.09,34,0,2.1,clear sky
5,Beringovskiy,RU,2021-02-06 17:49:30,63.05,179.3167,-8.25,88,1,8.43,clear sky
6,Jamestown,US,2021-02-06 17:49:11,42.097,-79.2353,19.4,53,1,17.27,clear sky
7,Castro,BR,2021-02-06 17:51:48,-24.7911,-50.0119,76.44,48,0,6.96,clear sky
8,Husavik,IS,2021-02-06 17:51:48,66.0449,-17.3389,32.0,64,75,4.61,broken clouds
9,Nikolskoye,RU,2021-02-06 17:51:48,59.7035,30.7861,10.4,79,75,17.9,snow
10,Ushuaia,AR,2021-02-06 17:51:20,-54.8,-68.3,53.6,50,20,21.85,few clouds
11,Leningradskiy,RU,2021-02-06 17:51:48,69.3833,178.4167,-12.82,78,61,6.58,broken clouds
12,Victoria,HK,2021-02-06 17:50:29,22.2855,114.1577,66.99,77,0,3.91,clear sky
13,Inuvik,CA,2021-02-06 17:51:48,68.3499,-133.7218,-23.8,76,100,3.44,overcast clouds
14,East London,ZA,2021-02-06 17:49:22,-33.0153,27.9116,75.2,94,20,4.61,few clouds
15,Alofi,NU,2021-02-06 17:51:49,-19.0595,-169.9187,77.0,88,100,4.61,overcast clouds
16,Busselton,AU,2021-02-06 17:51:49,-33.65,115.3333,59.0,95,100,1.01,moderate rain
17,Scarborough,GB,2021-02-06 17:51:49,54.2797,-0.4044,37.0,91,100,11.99,light rain
18,Rikitea,PF,2021-02-06 17:51:49,-23.1203,-134.9692,77.65,74,100,12.37,overcast clouds
19,Georgetown,MY,2021-02-06 17:50:02,5.4112,100.3354,82.4,83,20,2.3,few clouds
20,Tuktoyaktuk,CA,2021-02-06 17:48:15,69.4541,-133.0374,-16.6,76,90,17.27,snow
21,Warmbad,NA,2021-02-06 17:51:49,-28.45,18.7333,88.21,21,0,20.69,clear sky
22,Codrington,AU,2021-02-06 17:51:49,-38.2667,141.9667,58.21,79,93,14.16,overcast clouds
23,Port Hardy,CA,2021-02-06 17:50:00,50.6996,-127.4199,42.8,93,75,12.66,mist
24,Tucuma,BR,2021-02-06 17:51:50,-0.1833,-50.05,82.9,80,92,7.16,overcast clouds
25,Russell,US,2021-02-06 17:51:50,32.3502,-85.1999,50.0,50,90,10.36,light rain
26,Tiksi,RU,2021-02-06 17:51:03,71.6872,128.8694,-25.56,86,100,5.82,overcast clouds
27,Nidzica,PL,2021-02-06 17:51:50,53.3605,20.4275,5.0,92,0,1.14,clear sky
28,Tasiilaq,GL,2021-02-06 17:51:50,65.6145,-37.6368,32.0,100,75,42.57,snow
29,Bejar,ES,2021-02-06 17:51:50,40.3864,-5.7634,46.99,10,97,7.85,overcast clouds
30,Dhidhdhoo,MV,2021-02-06 17:51:51,6.8833,73.1,81.57,77,53,11.45,broken clouds
31,Vaitape,PF,2021-02-06 17:51:51,-16.5167,-151.75,81.45,70,0,10.4,light rain
32,Barrow,US,2021-02-06 17:51:51,71.2906,-156.7887,-0.4,71,90,10.36,overcast clouds
33,Mataura,NZ,2021-02-06 17:48:19,-46.1927,168.8643,48.78,95,2,1.3,clear sky
